Year,Cause,Sex,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26,IM_Deaths1,IM_Deaths2,IM_Deaths3,IM_Deaths4
1979,1830,2,0,0,1,0,0,3,7,22,33,43,62,131,285,539,1035,1265,1420,1657,1460,1155,868,578,,,1,0,0,0,0
1979,184,2,0,1,0,0,0,0,0,5,6,5,1,10,19,22,32,70,77,107,119,142,147,168,,,0,0,0,0,0
1979,187,1,0,0,0,0,0,0,0,1,0,0,1,2,6,18,8,24,18,37,36,29,24,33,,,1,0,0,0,0
1979,1877,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,3,4,0,3,,,0,0,0,0,0
1979,189,1,4,5,2,6,8,12,4,5,14,8,18,46,98,229,396,617,689,792,718,533,359,237,,,0,0,0,0,4
1979,189,2,2,4,1,1,2,29,9,6,11,10,19,32,42,92,177,292,357,407,463,397,332,264,,,0,0,0,0,2
1979,1890,1,4,5,2,6,8,12,4,5,14,7,18,43,95,223,380,590,654,731,656,485,323,211,,,0,0,0,0,4
1979,1890,2,2,4,1,1,2,29,9,6,11,9,19,31,41,87,164,270,333,369,418,364,280,225,,,0,0,0,0,2
1979,1891,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,9,7,15,14,6,9,4,,,0,0,0,0,0
1979,1891,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,8,7,9,6,13,7,,,0,0,0,0,0
1979,1892,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,10,20,31,28,30,19,11,,,0,0,0,0,0
1979,1892,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,10,8,16,21,13,26,17,,,0,0,0,0,0
1979,190,1,0,0,0,5,1,1,1,0,1,0,0,1,6,1,12,9,20,13,22,15,21,9,,,0,0,0,0,0
1979,190,2,0,0,1,4,3,0,0,0,1,0,1,2,2,5,8,11,10,17,26,22,20,19,,,0,0,0,0,0
1979,192,1,2,0,0,0,1,4,5,8,5,5,6,4,3,6,11,12,10,16,16,12,3,1,,,0,0,0,0,2
1979,192,2,1,0,0,1,1,4,2,4,5,5,7,3,3,6,7,12,10,8,16,10,8,2,,,0,0,0,1,0
1979,193,1,0,0,0,0,0,0,1,0,0,1,1,6,9,16,20,45,44,52,51,54,31,22,,,0,0,0,0,0
1979,193,2,0,0,0,0,0,0,0,2,0,1,4,9,11,16,27,48,47,88,94,100,100,99,,,0,0,0,0,0
1979,194,1,7,17,18,18,16,32,7,8,7,9,8,4,9,14,13,17,28,25,18,12,9,2,,,0,0,0,0,7
1979,194,2,9,6,16,13,8,18,8,8,8,4,12,7,9,16,19,23,17,18,18,12,5,3,,,0,0,1,0,8
1979,195,1,0,0,1,1,0,2,1,5,3,4,9,7,34,48,82,128,161,204,216,159,126,141,,,0,0,0,0,0
1979,195,2,0,1,1,0,1,1,0,2,2,2,8,15,20,40,81,105,155,190,194,245,240,318,,,0,0,0,0,0
1979,196,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,196,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,197,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,197,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,198,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0
1979,199,1,4,0,0,1,0,3,14,33,53,52,68,106,218,456,891,1377,1786,2114,2120,1686,1181,888,,,0,0,0,0,4
1979,199,2,2,2,2,2,0,6,6,16,21,31,57,116,177,350,700,1046,1312,1623,1723,1739,1538,1535,,,4,1,0,0,1
